name,lat,lng
Citrus Heights,38.6948,-121.288
Jackson,42.2431,-84.4038
Whittier,33.9678,-118.0188
Muncie,40.1989,-85.395
Troy,42.5817,-83.1457
Homosassa Springs,28.8119,-82.5392
Port Huron,42.9821,-82.4388
Napa,38.2975,-122.301
Deerfield Beach,26.305,-80.1277
Springdale,36.1901,-94.1574
Newport Beach,33.6151,-117.8668
Anderson,40.0891,-85.6892
San Ramon,37.7624,-121.9365
Lake Forest,33.6605,-117.6714
Mission,26.2039,-98.3256
Auburn,47.3039,-122.2108
Brooklyn Park,45.1112,-93.3505
Bryan,30.665,-96.3807
Springfield,39.93,-83.7959
Hattiesburg,31.3074,-89.317
Westland,42.3192,-83.3805
Cicero,41.8445,-87.7593
Albany,31.5776,-84.1762
Fort Myers,26.6194,-81.8302
Pine Hills,28.5818,-81.4692
Atascocita,29.9777,-95.1953
Buena Park,33.8572,-118.0046
Redwood City,37.5025,-122.2253
Farmington Hills,42.486,-83.3771
Alton,38.9037,-90.152
Melbourne,28.1086,-80.6627
Miami Beach,25.8171,-80.1396
Alhambra,34.084,-118.1355
Williamsburg,37.2693,-76.7076
Madera,36.963,-120.0778
Warwick,41.7062,-71.4334
Cranston,41.7658,-71.4858
Baytown,29.7587,-94.9671
Largo,27.9088,-82.7712
Silver Spring,39.0028,-77.0207
Lakewood,33.8471,-118.1222
Mountain View,37.4001,-122.0796
Kankakee,41.102,-87.8643
Johns Creek,34.0333,-84.2027
Flagstaff,35.1872,-111.6194
Franklin,35.92,-86.8516
Joplin,37.0757,-94.5018
Parma,41.3843,-81.7286
Layton,41.077,-111.962
New Rochelle,40.9304,-73.7836
Anderson,34.5211,-82.6478
Lebanon,40.3412,-76.4228
Somerville,42.3908,-71.1014
Yauco,18.0344,-66.8615
St. Joseph,39.7598,-94.821
Plymouth,45.0225,-93.4617
Tustin,33.7311,-117.8107
Zephyrhills,28.2409,-82.1797
Milpitas,37.4336,-121.8921
Florence,34.8303,-87.6655
Pleasanton,37.6663,-121.8805
Boynton Beach,26.5281,-80.0811
Texarkana,33.45,-94.0847
Folsom,38.6668,-121.1422
Bellflower,33.888,-118.1271
Pharr,26.1685,-98.1904
Homestead,25.4665,-80.4472
Valdosta,30.8502,-83.2788
Upland,34.1178,-117.6604
Evanston,42.0464,-87.6943
Newark,40.0706,-82.425
Elizabethtown,37.7031,-85.8773
St. Augustine,29.8976,-81.31
Rancho Cordova,38.5737,-121.2527
Alameda,37.7668,-122.267
Chino Hills,33.9508,-117.7254
Perris,33.7898,-117.2233
Schaumburg,42.0308,-88.0838
Kendall,25.6697,-80.3556
Camarillo,34.223,-119.0321
Anniston,33.6712,-85.8135
Sumter,33.9392,-80.393
Jonesboro,35.8212,-90.6791
Hammond,41.6168,-87.4909
Carmichael,38.6318,-121.3263
Arlington Heights,42.0955,-87.9826
Morgantown,39.6383,-79.9464
Wyoming,42.8908,-85.7066
Cheyenne,41.135,-104.7902
Pasco,46.2506,-119.1305
Watsonville,36.9206,-121.7708
Southfield,42.4765,-83.2605
Wausau,44.962,-89.6459
Rochester Hills,42.6645,-83.1563
Loveland,40.4166,-105.0623
Alexandria,31.2923,-92.4702
Pittsburg,38.0182,-121.8965
Hammond,30.5061,-90.4563
South Jordan,40.557,-111.9784
Battle Creek,42.2985,-85.2296
Bethlehem,40.6266,-75.3679
Fajardo,18.3331,-65.6589
Davis,38.5553,-121.737
Apple Valley,34.5352,-117.2109
Pawtucket,41.8744,-71.3743
Wheeling,40.0752,-80.6951
Flower Mound,33.0343,-97.1146
Harrisonburg,38.4362,-78.8735
Cedar Park,30.5105,-97.8197
Oshkosh,44.0227,-88.5619
Winchester,39.1735,-78.1746
Caguas,18.2319,-66.0388
Ellicott City,39.2774,-76.8345
Pocatello,42.8724,-112.4647
Hilton Head Island,32.1896,-80.7499
New Britain,41.6759,-72.7862
Mansfield,40.7656,-82.5275
Woodbury,44.9057,-92.923
Lauderhill,26.1605,-80.2241
Lehi,40.4136,-111.8725
Bolingbrook,41.6901,-88.1021
Dale City,38.6473,-77.3459
Missouri City,29.563,-95.5365
Lake Jackson,29.0516,-95.4521
Altoona,40.5082,-78.4007
Doral,25.8152,-80.3565
Owensboro,37.7575,-87.1172
Centreville,38.839,-77.4389
Mount Vernon,40.9136,-73.8291
Baldwin Park,34.0829,-117.9722
Broomfield,39.9542,-105.0526
Redlands,34.0512,-117.1712
Cleveland,35.1817,-84.8707
Dothan,31.2336,-85.407
Camden,39.9361,-75.1073
Redmond,47.6763,-122.1169
Framingham,42.3085,-71.4368
Jackson,35.6538,-88.8354
Janesville,42.6854,-89.0135
Juana Diaz,18.0532,-66.5044
Mansfield,32.569,-97.1213
Waukesha,43.0087,-88.2464
Tamarac,26.2056,-80.2539
Wenatchee,47.436,-120.3295
Daytona Beach,29.1995,-81.0982
Castle Rock,39.3763,-104.8535
Redondo Beach,33.8577,-118.3765
Wilmington,39.7415,-75.5416
San Marcos,29.8734,-97.9356
Union City,37.6032,-122.0181
Eldersburg,39.4041,-76.9528
Conway,35.0753,-92.4692
Bayonne,40.6668,-74.1158
Guaynabo,18.3832,-66.1134
Rocklin,38.8075,-121.2489
Passaic,40.8574,-74.1282
Sheboygan,43.7403,-87.7316
Casas Adobes,32.3423,-111.0113
St. Charles,38.7954,-90.5157
Maple Grove,45.1089,-93.4626
Walnut Creek,37.9024,-122.0399
Dublin,37.7161,-121.8963
North Richland Hills,32.8604,-97.218
Gary,41.5905,-87.3473
Glen Burnie,39.156,-76.6071
Bristol,36.5572,-82.2154
Decatur,34.5731,-86.9905
West Bend,43.4173,-88.1818
Lodi,38.1218,-121.2932
Lima,40.741,-84.112
Florida,18.3643,-66.5611
Lakeville,44.6774,-93.252
Blaine,45.1696,-93.2077
Poinciana,28.1217,-81.4821
East Orange,40.7651,-74.2117
Noblesville,40.0355,-86.0042
Gaithersburg,39.1346,-77.2131
Lake Elsinore,33.6847,-117.3344
Palo Alto,37.3905,-122.1468
Eastvale,33.9617,-117.5803
Tulare,36.1995,-119.34
Rogers,36.317,-94.1531
Yorba Linda,33.889,-117.7714
Parkersburg,39.2623,-81.542
Eagan,44.817,-93.1638
Weston,26.1006,-80.4054
Longview,46.1461,-122.963
Bay City,43.5902,-83.8887
Dubuque,42.5002,-90.707
Union City,40.7675,-74.0323
Porterville,36.0643,-119.0338
Mount Vernon,48.4203,-122.3115
Palatine,42.118,-88.043
El Paso de Robles,35.6394,-120.656
West Des Moines,41.5521,-93.7806
Lynwood,33.924,-118.2016
Skokie,42.036,-87.74
Sherman,33.6273,-96.6221
Rockville,39.0834,-77.1553
Haverhill,42.7838,-71.0871
Hanover,39.8118,-76.9836
Shawnee,39.0158,-94.8076
Rome,34.2662,-85.1863
Schenectady,42.8025,-73.9275
South Hill,47.1198,-122.2853
DeKalb,41.9314,-88.7481
Petaluma,38.2423,-122.6266
Sammamish,47.6017,-122.0416
Georgetown,30.666,-97.6966
Carbondale,37.7221,-89.2237
Delray Beach,26.455,-80.0905
Dundalk,39.2704,-76.4942
Kenner,30.0109,-90.2549
